,Input_file,Emb_dim,Batch_size,Neg_pos_ratio,Min_keep,Epochs,Learning_rate,T_Preproccessing,T_Training,T_Epoch_1,Training_loss,Validation_loss
0,Testdata/train_1000.txt,200,64,4,0.5,1,0.001,13.874737977981567,8.562549114227295,8.556465148925781,[1751.7716233638296],[1709.5986853112709]
1,Testdata/train_1000.txt,200,128,4,0.5,1,0.001,13.724302053451538,4.749320983886719,4.744484186172485,[3597.478005071272],[3413.870674133301]
2,Testdata/train_1000.txt,200,256,4,0.5,1,0.001,13.703275918960571,2.897979259490967,2.891200065612793,[7102.72038557146],[6931.4829508463545]
3,Testdata/train_1000.txt,200,512,4,0.5,1,0.001,14.21298098564148,2.063561201095581,2.0415029525756836,[14273.633945041232],[13962.696180555555]
4,Testdata/train_1000.txt,200,1024,4,0.5,1,0.001,14.916975021362305,1.5207350254058838,1.5125021934509277,[28460.79220920139],[28428.746961805555]
5,Testdata/train_1000.txt,300,64,4,0.5,1,0.001,13.888725996017456,11.78355884552002,11.77733302116394,[2115.6366377981085],[2061.0905608063813]
6,Testdata/train_1000.txt,300,128,4,0.5,1,0.001,13.847938060760498,7.268670082092285,7.248611927032471,[4339.318899054277],[4237.866351657443]
7,Testdata/train_1000.txt,300,256,4,0.5,1,0.001,13.806771278381348,3.631513833999634,3.6253786087036133,[8705.777891785949],[8531.146999782986]
8,Testdata/train_1000.txt,300,512,4,0.5,1,0.001,13.999571084976196,2.4362869262695312,2.428508996963501,[17407.298210991754],[17050.809027777777]
9,Testdata/train_1000.txt,300,1024,4,0.5,1,0.001,13.873703002929688,1.5891659259796143,1.5781958103179932,[35086.70339626736],[34191.083984375]
