,Input_file,Emb_dim,Batch_size,Neg_pos_ratio,Min_keep,Epochs,Learning_rate,T_Preproccessing,T_Training,T_Epoch_1,T_Epoch_2,T_Epoch_3,T_Epoch_4,T_Epoch_5,Training_loss,Validation_loss
0,Testdata/train_3000.txt,200,64,4,0.5,5,0.001,27.8667471408844,278.75232577323914,52.56552696228027,54.69310808181763,57.67522406578064,55.035927057266235,58.76608681678772,"[1680.2898967823594, 1219.9076207832268, 862.1154287286396, 590.6940600254025, 391.05966577443473]","[1582.9433648298327, 1430.9792192984319, 1317.3969054291215, 1227.9036424424912, 1157.2098180798516]"
1,Testdata/train_3000.txt,200,128,4,0.5,5,0.001,31.438594102859497,140.86147284507751,25.473262071609497,26.14435315132141,29.569670915603638,29.285477876663208,30.36880612373352,"[3437.027154305131, 2717.571251173526, 2116.9920739067925, 1627.726422406625, 1231.2978919946054]","[3256.558394427461, 3008.821482487923, 2815.720098670554, 2657.950483681499, 2524.7483659090053]"
2,Testdata/train_3000.txt,200,256,4,0.5,5,0.001,25.852545022964478,74.3822832107544,12.502298831939697,16.565482139587402,16.0989933013916,14.36958909034729,14.82934284210205,"[6919.721077002189, 5833.960678026872, 4890.46377460277, 4075.8540787996303, 3373.9884504972447]","[6640.403965876652, 6254.806119478666, 5943.224231426532, 5677.7464435283955, 5445.762038010817]"
3,Testdata/train_3000.txt,200,512,4,0.5,5,0.001,25.927248239517212,47.00083875656128,9.94089388847351,10.301484107971191,9.727664232254028,8.750133037567139,8.26304316520691,"[14072.275631227356, 12437.588032155798, 10977.249603713768, 9663.083425328352, 8487.538569501057]","[13425.68289888822, 12834.463228665865, 12330.25839468149, 11899.696664663461, 11522.540996844951]"
4,Testdata/train_3000.txt,200,1024,4,0.5,5,0.001,27.92506217956543,30.31741499900818,5.9346630573272705,5.451383113861084,5.7628679275512695,6.448243856430054,6.699938058853149,"[28334.16354604868, 25820.297720102164, 23621.136446439305, 21596.33946814904, 19721.826866736777]","[27641.99894831731, 26700.61726262019, 25915.85096153846, 25211.236553485578, 24574.42052283654]"
5,Testdata/train_3000.txt,300,64,4,0.5,5,0.001,29.826098918914795,436.8949439525604,70.54127597808838,97.04611802101135,101.22864699363708,85.13622093200684,82.91452813148499,"[2059.9055377141945, 1424.9220558558345, 945.7527506756278, 600.8371427138406, 365.1540306160457]","[1908.0422080219655, 1733.8539248848883, 1610.7124232785138, 1518.0444918277758, 1449.0435870626698]"
6,Testdata/train_3000.txt,300,128,4,0.5,5,0.001,27.048463821411133,208.42694401741028,35.181315898895264,45.777852058410645,40.66219115257263,42.58648610115051,44.2046332359314,"[4190.58951587032, 3194.0388882402062, 2382.4448181004914, 1740.7219642970872, 1243.7263156688157]","[3982.9303432593597, 3693.22396423045, 3475.283165383454, 3303.8092365357033, 3165.5939198369565]"
7,Testdata/train_3000.txt,300,256,4,0.5,5,0.001,30.891461849212646,102.97029304504395,22.348068714141846,21.271049976348877,21.45174503326416,18.63969111442566,19.23221778869629,"[8615.557723335598, 7054.128195057745, 5731.731210607261, 4621.615466721392, 3690.382557744565]","[8164.590050330529, 7652.858994704026, 7285.8815190241885, 6984.271517240084, 6728.808974045974]"
8,Testdata/train_3000.txt,300,512,4,0.5,5,0.001,29.01704692840576,66.80097794532776,12.74752688407898,13.553025960922241,14.053563117980957,12.725899934768677,13.70179295539856,"[17115.931022607187, 14825.802923082729, 12805.921488149155, 11010.335880887682, 9419.261136114885]","[16408.423696664664, 15678.681321364184, 15082.97021484375, 14571.645432692309, 14122.83084810697]"
9,Testdata/train_3000.txt,300,1024,4,0.5,5,0.001,35.99979019165039,41.24643898010254,8.805454969406128,9.320924997329712,7.513292074203491,7.684383153915405,7.897892951965332,"[34469.637394831734, 31054.765474759617, 27964.374577448918, 25147.142446664664, 22571.538959209734]","[33548.51209435096, 32396.88018329327, 31408.38934795673, 30565.56843449519, 29808.833158052883]"
