,Input_file,Emb_dim,Batch_size,Neg_pos_ratio,Min_keep,Epochs,Learning_rate,T_Preproccessing,T_Training,T_Epoch_1,Training_loss,Validation_loss
0,train_800.txt,200,64,4,0.5,1,0.001,15.992395162582397,6.49569296836853,6.490986108779907,[1748.9784924290489],[1680.8776488223318]
1,train_800.txt,200,128,4,0.5,1,0.001,14.13246488571167,3.6531829833984375,3.6475257873535156,[3584.8335573875297],[3478.7428744041313]
2,train_800.txt,200,256,4,0.5,1,0.001,13.606154918670654,2.0363521575927734,2.031309127807617,[7171.849437648967],[6977.521663411459]
3,train_800.txt,200,512,4,0.5,1,0.001,13.633511066436768,1.359058141708374,1.3537750244140625,[14341.605220471398],[14095.904296875]
4,train_800.txt,200,1024,4,0.5,1,0.001,13.03894305229187,1.0269129276275635,1.0219120979309082,[28674.005208333332],[26964.69580078125]
5,train_800.txt,300,64,4,0.5,1,0.001,13.042464017868042,8.772304773330688,8.767637014389038,[2167.369500097449],[2081.150842698954]
6,train_800.txt,300,128,4,0.5,1,0.001,13.053251028060913,4.627519130706787,4.623126029968262,[4339.961346642445],[4264.286455574682]
7,train_800.txt,300,256,4,0.5,1,0.001,13.070518970489502,2.827996015548706,2.8222970962524414,[8658.075613248146],[8449.593481445312]
8,train_800.txt,300,512,4,0.5,1,0.001,13.079899787902832,1.7355642318725586,1.7307970523834229,[17861.12058064089],[17271.795377604165]
9,train_800.txt,300,1024,4,0.5,1,0.001,13.098372220993042,1.2367589473724365,1.2312228679656982,[34496.33004557292],[32045.725708007812]
